county,state,fips,recent_cases,recent_deaths,pop2019,f_inf_rep,undercount,tooltip
Anderson,Tennessee,47001,9,0,76978,1.1691652160357505e-4,NA,"Anderson county, Tennessee
 recent cases: 9
 recent prevalence: 0.01%
 possible undercount: NAx"
Anderson,Texas,48001,24,0,57735,4.156923876331515e-4,NA,"Anderson county, Texas
 recent cases: 24
 recent prevalence: 0.04%
 possible undercount: NAx"
Andrew,Missouri,29003,5,0,17712,2.8229448961156276e-4,NA,"Andrew county, Missouri
 recent cases: 5
 recent prevalence: 0.03%
 possible undercount: NAx"
Andrews,Texas,48003,2,0,18705,1.0692328254477412e-4,NA,"Andrews county, Texas
 recent cases: 2
 recent prevalence: 0.01%
 possible undercount: NAx"
Androscoggin,Maine,23001,26,1,108277,2.4012486492976348e-4,3.8461538461538463,"Androscoggin county, Maine
 recent cases: 26
 recent prevalence: 0.02%
 possible undercount: 3.8x"
Angelina,Texas,48005,52,0,86715,5.996655711237964e-4,NA,"Angelina county, Texas
 recent cases: 52
 recent prevalence: 0.06%
 possible undercount: NAx"
Anne Arundel,Maryland,24003,888,53,579234,0.0015330591781559785,5.968468468468468,"Anne Arundel county, Maryland
 recent cases: 888
 recent prevalence: 0.15%
 possible undercount: 6.0x"
Anoka,Minnesota,27003,247,18,356921,6.920298889670263e-4,7.287449392712551,"Anoka county, Minnesota
 recent cases: 247
 recent prevalence: 0.07%
 possible undercount: 7.3x"
Anson,North Carolina,37007,12,0,24446,4.908778532275219e-4,NA,"Anson county, North Carolina
 recent cases: 12
 recent prevalence: 0.05%
 possible undercount: NAx"
Antelope,Nebraska,31003,3,0,6298,4.76341695776437e-4,NA,"Antelope county, Nebraska
 recent cases: 3
 recent prevalence: 0.05%
 possible undercount: NAx"
Antrim,Michigan,26009,1,1,23324,4.287429257417253e-5,100,"Antrim county, Michigan
 recent cases: 1
 recent prevalence: 0.00%
 possible undercount: 100.0x"
Apache,Arizona,04001,350,2,71887,0.004868752347434168,0.5714285714285714,"Apache county, Arizona
 recent cases: 350
 recent prevalence: 0.49%
 possible undercount: 0.6x"
Appanoose,Iowa,19007,2,1,12426,1.6095284081764043e-4,50,"Appanoose county, Iowa
 recent cases: 2
 recent prevalence: 0.02%
 possible undercount: 50.0x"
Appling,Georgia,13001,56,8,18386,0.0030457957141303165,14.285714285714286,"Appling county, Georgia
 recent cases: 56
 recent prevalence: 0.30%
 possible undercount: 14.3x"
Appomattox,Virginia,51011,14,0,15911,8.798944126704796e-4,NA,"Appomattox county, Virginia
 recent cases: 14
 recent prevalence: 0.09%
 possible undercount: NAx"
Aransas,Texas,48007,0,0,23510,0,NA,"Aransas county, Texas
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Arapahoe,Colorado,08005,1234,85,656590,0.001879407240439239,6.888168557536467,"Arapahoe county, Colorado
 recent cases: 1234
 recent prevalence: 0.19%
 possible undercount: 6.9x"
Archuleta,Colorado,08007,2,0,14029,1.4256183619645022e-4,NA,"Archuleta county, Colorado
 recent cases: 2
 recent prevalence: 0.01%
 possible undercount: NAx"
Arenac,Michigan,26011,16,0,14883,0.0010750520728347779,NA,"Arenac county, Michigan
 recent cases: 16
 recent prevalence: 0.11%
 possible undercount: NAx"
Arkansas,Arkansas,05001,1,0,17486,5.7188608029280565e-5,NA,"Arkansas county, Arkansas
 recent cases: 1
 recent prevalence: 0.01%
 possible undercount: NAx"
Arlington,Virginia,51013,544,26,236842,0.002296889909728849,4.779411764705882,"Arlington county, Virginia
 recent cases: 544
 recent prevalence: 0.23%
 possible undercount: 4.8x"
Armstrong,Pennsylvania,42005,21,1,64735,3.2439947478180275e-4,4.761904761904762,"Armstrong county, Pennsylvania
 recent cases: 21
 recent prevalence: 0.03%
 possible undercount: 4.8x"
Armstrong,Texas,48011,1,0,1887,5.299417064122947e-4,NA,"Armstrong county, Texas
 recent cases: 1
 recent prevalence: 0.05%
 possible undercount: NAx"
Aroostook,Maine,23003,4,0,67055,5.965252404742376e-5,NA,"Aroostook county, Maine
 recent cases: 4
 recent prevalence: 0.01%
 possible undercount: NAx"
Arthur,Nebraska,31005,0,0,463,0,NA,"Arthur county, Nebraska
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Ascension,Louisiana,22005,142,9,126604,0.0011216075321474836,6.338028169014085,"Ascension county, Louisiana
 recent cases: 142
 recent prevalence: 0.11%
 possible undercount: 6.3x"
Ashe,North Carolina,37009,1,0,27203,3.676065139874279e-5,NA,"Ashe county, North Carolina
 recent cases: 1
 recent prevalence: 0.00%
 possible undercount: NAx"
Ashland,Ohio,39005,4,0,53484,7.47887218607434e-5,NA,"Ashland county, Ohio
 recent cases: 4
 recent prevalence: 0.01%
 possible undercount: NAx"
Ashland,Wisconsin,55003,0,0,15562,0,NA,"Ashland county, Wisconsin
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Ashley,Arkansas,05003,3,0,19657,1.5261738820776313e-4,NA,"Ashley county, Arkansas
 recent cases: 3
 recent prevalence: 0.02%
 possible undercount: NAx"
Ashtabula,Ohio,39007,90,11,97241,9.255355251385733e-4,12.222222222222221,"Ashtabula county, Ohio
 recent cases: 90
 recent prevalence: 0.09%
 possible undercount: 12.2x"
Asotin,Washington,53003,4,1,22582,1.771322292091046e-4,25,"Asotin county, Washington
 recent cases: 4
 recent prevalence: 0.02%
 possible undercount: 25.0x"
Assumption,Louisiana,22007,51,5,21891,0.0023297245443332877,9.803921568627452,"Assumption county, Louisiana
 recent cases: 51
 recent prevalence: 0.23%
 possible undercount: 9.8x"
Atascosa,Texas,48013,5,0,51153,9.774597775301547e-5,NA,"Atascosa county, Texas
 recent cases: 5
 recent prevalence: 0.01%
 possible undercount: NAx"
Atchison,Kansas,20005,6,0,16073,3.732968331985317e-4,NA,"Atchison county, Kansas
 recent cases: 6
 recent prevalence: 0.04%
 possible undercount: NAx"
Atchison,Missouri,29005,0,0,5143,0,NA,"Atchison county, Missouri
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Athens,Ohio,39009,1,0,65327,1.5307606349595114e-5,NA,"Athens county, Ohio
 recent cases: 1
 recent prevalence: 0.00%
 possible undercount: NAx"
Atkinson,Georgia,13003,9,1,8165,0.0011022657685241886,11.11111111111111,"Atkinson county, Georgia
 recent cases: 9
 recent prevalence: 0.11%
 possible undercount: 11.1x"
Atlantic,New Jersey,34001,721,29,263670,0.0027344787044411576,4.0221914008321775,"Atlantic county, New Jersey
 recent cases: 721
 recent prevalence: 0.27%
 possible undercount: 4.0x"
Atoka,Oklahoma,40005,0,0,13758,0,NA,"Atoka county, Oklahoma
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Attala,Mississippi,28007,88,2,18174,0.004842082095300979,2.272727272727273,"Attala county, Mississippi
 recent cases: 88
 recent prevalence: 0.48%
 possible undercount: 2.3x"
Audrain,Missouri,29007,0,0,25388,0,NA,"Audrain county, Missouri
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Audubon,Iowa,19009,7,0,5496,0.0012736535662299854,NA,"Audubon county, Iowa
 recent cases: 7
 recent prevalence: 0.13%
 possible undercount: NAx"
Auglaize,Ohio,39011,13,0,45656,2.847380410022779e-4,NA,"Auglaize county, Ohio
 recent cases: 13
 recent prevalence: 0.03%
 possible undercount: NAx"
Augusta,Virginia,51015,19,1,75558,2.514624526853543e-4,5.2631578947368425,"Augusta county, Virginia
 recent cases: 19
 recent prevalence: 0.03%
 possible undercount: 5.3x"
Aurora,South Dakota,46003,0,0,2751,0,NA,"Aurora county, South Dakota
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Austin,Texas,48015,1,0,30032,3.3297815663292486e-5,NA,"Austin county, Texas
 recent cases: 1
 recent prevalence: 0.00%
 possible undercount: NAx"
Autauga,Alabama,01001,23,3,55869,4.1167731657985646e-4,13.043478260869565,"Autauga county, Alabama
 recent cases: 23
 recent prevalence: 0.04%
 possible undercount: 13.0x"
Avoyelles,Louisiana,22009,5,0,40144,1.245516141889199e-4,NA,"Avoyelles county, Louisiana
 recent cases: 5
 recent prevalence: 0.01%
 possible undercount: NAx"
Baca,Colorado,08009,2,0,3581,5.585032113934655e-4,NA,"Baca county, Colorado
 recent cases: 2
 recent prevalence: 0.06%
 possible undercount: NAx"
Bacon,Georgia,13005,10,0,11164,8.957362952346829e-4,NA,"Bacon county, Georgia
 recent cases: 10
 recent prevalence: 0.09%
 possible undercount: NAx"
Bailey,Texas,48017,0,0,7000,0,NA,"Bailey county, Texas
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Baker,Florida,12003,5,0,29210,1.7117425539198904e-4,NA,"Baker county, Florida
 recent cases: 5
 recent prevalence: 0.02%
 possible undercount: NAx"
Baker,Georgia,13007,8,0,3038,0.0026333113890717576,NA,"Baker county, Georgia
 recent cases: 8
 recent prevalence: 0.26%
 possible undercount: NAx"
Baldwin,Alabama,01003,66,3,223234,2.956538878486252e-4,4.545454545454546,"Baldwin county, Alabama
 recent cases: 66
 recent prevalence: 0.03%
 possible undercount: 4.5x"
Baldwin,Georgia,13009,125,6,44890,0.002784584539986634,4.8,"Baldwin county, Georgia
 recent cases: 125
 recent prevalence: 0.28%
 possible undercount: 4.8x"
Ballard,Kentucky,21007,6,0,7888,7.606490872210953e-4,NA,"Ballard county, Kentucky
 recent cases: 6
 recent prevalence: 0.08%
 possible undercount: NAx"
Baltimore,Maryland,24005,1523,88,827370,0.0018407725685001873,5.778069599474721,"Baltimore county, Maryland
 recent cases: 1523
 recent prevalence: 0.18%
 possible undercount: 5.8x"
Baltimore city,Maryland,24510,1067,70,593490,0.0017978398962071812,6.560449859418932,"Baltimore city county, Maryland
 recent cases: 1067
 recent prevalence: 0.18%
 possible undercount: 6.6x"
Bamberg,South Carolina,45009,6,0,14066,4.2656050049765394e-4,NA,"Bamberg county, South Carolina
 recent cases: 6
 recent prevalence: 0.04%
 possible undercount: NAx"
Bandera,Texas,48019,2,0,23112,8.653513326410523e-5,NA,"Bandera county, Texas
 recent cases: 2
 recent prevalence: 0.01%
 possible undercount: NAx"
Banks,Georgia,13011,15,0,19234,7.798689820110222e-4,NA,"Banks county, Georgia
 recent cases: 15
 recent prevalence: 0.08%
 possible undercount: NAx"
Bannock,Idaho,16005,2,0,87808,2.2776967930029154e-5,NA,"Bannock county, Idaho
 recent cases: 2
 recent prevalence: 0.00%
 possible undercount: NAx"
Baraga,Michigan,26013,0,0,8209,0,NA,"Baraga county, Michigan
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Barber,Kansas,20007,0,0,4427,0,NA,"Barber county, Kansas
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Barbour,Alabama,01005,19,1,24686,7.696670177428502e-4,5.2631578947368425,"Barbour county, Alabama
 recent cases: 19
 recent prevalence: 0.08%
 possible undercount: 5.3x"
Barbour,West Virginia,54001,2,1,16441,1.2164710175780061e-4,50,"Barbour county, West Virginia
 recent cases: 2
 recent prevalence: 0.01%
 possible undercount: 50.0x"
Barnes,North Dakota,38003,1,0,10415,9.601536245799327e-5,NA,"Barnes county, North Dakota
 recent cases: 1
 recent prevalence: 0.01%
 possible undercount: NAx"
Barnstable,Massachusetts,25001,297,26,212990,0.0013944316634583783,8.754208754208754,"Barnstable county, Massachusetts
 recent cases: 297
 recent prevalence: 0.14%
 possible undercount: 8.8x"
Barnwell,South Carolina,45011,21,0,20866,0.0010064219304131122,NA,"Barnwell county, South Carolina
 recent cases: 21
 recent prevalence: 0.10%
 possible undercount: NAx"
Barren,Kentucky,21009,13,0,44249,2.9379195010056724e-4,NA,"Barren county, Kentucky
 recent cases: 13
 recent prevalence: 0.03%
 possible undercount: NAx"
Barron,Wisconsin,55005,1,0,45244,2.210237821589603e-5,NA,"Barron county, Wisconsin
 recent cases: 1
 recent prevalence: 0.00%
 possible undercount: NAx"
Barrow,Georgia,13013,76,2,83240,9.13022585295531e-4,2.6315789473684212,"Barrow county, Georgia
 recent cases: 76
 recent prevalence: 0.09%
 possible undercount: 2.6x"
Barry,Michigan,26015,13,0,61550,2.1121039805036557e-4,NA,"Barry county, Michigan
 recent cases: 13
 recent prevalence: 0.02%
 possible undercount: NAx"
Barry,Missouri,29009,1,0,35789,2.7941546285171422e-5,NA,"Barry county, Missouri
 recent cases: 1
 recent prevalence: 0.00%
 possible undercount: NAx"
Bartholomew,Indiana,18005,157,10,83779,0.0018739779658386946,6.369426751592357,"Bartholomew county, Indiana
 recent cases: 157
 recent prevalence: 0.19%
 possible undercount: 6.4x"
Barton,Kansas,20009,1,0,25779,3.8791264207300516e-5,NA,"Barton county, Kansas
 recent cases: 1
 recent prevalence: 0.00%
 possible undercount: NAx"
Bartow,Georgia,13015,95,4,107738,8.817687352651803e-4,4.2105263157894735,"Bartow county, Georgia
 recent cases: 95
 recent prevalence: 0.09%
 possible undercount: 4.2x"
Bastrop,Texas,48021,48,0,88723,5.41009659276625e-4,NA,"Bastrop county, Texas
 recent cases: 48
 recent prevalence: 0.05%
 possible undercount: NAx"
Bates,Missouri,29013,0,0,16172,0,NA,"Bates county, Missouri
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Bath,Kentucky,21011,1,1,12500,8e-5,100,"Bath county, Kentucky
 recent cases: 1
 recent prevalence: 0.01%
 possible undercount: 100.0x"
Baxter,Arkansas,05005,0,0,41932,0,NA,"Baxter county, Arkansas
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Bay,Florida,12005,18,1,174705,1.0303082338799691e-4,5.555555555555555,"Bay county, Florida
 recent cases: 18
 recent prevalence: 0.01%
 possible undercount: 5.6x"
Bay,Michigan,26017,76,6,103126,7.369625506661754e-4,7.894736842105263,"Bay county, Michigan
 recent cases: 76
 recent prevalence: 0.07%
 possible undercount: 7.9x"
Bayfield,Wisconsin,55007,0,0,15036,0,NA,"Bayfield county, Wisconsin
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Beadle,South Dakota,46005,0,0,18453,0,NA,"Beadle county, South Dakota
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Beaufort,North Carolina,37013,7,0,46994,1.4895518576839596e-4,NA,"Beaufort county, North Carolina
 recent cases: 7
 recent prevalence: 0.01%
 possible undercount: NAx"
Beaufort,South Carolina,45013,37,3,192122,1.9258596100394542e-4,8.108108108108109,"Beaufort county, South Carolina
 recent cases: 37
 recent prevalence: 0.02%
 possible undercount: 8.1x"
Beauregard,Louisiana,22011,8,1,37497,2.1335040136544257e-4,12.5,"Beauregard county, Louisiana
 recent cases: 8
 recent prevalence: 0.02%
 possible undercount: 12.5x"
Beaver,Oklahoma,40007,14,0,5311,0.0026360384108454153,NA,"Beaver county, Oklahoma
 recent cases: 14
 recent prevalence: 0.26%
 possible undercount: NAx"
Beaver,Pennsylvania,42007,163,30,163929,9.94332912419401e-4,18.404907975460123,"Beaver county, Pennsylvania
 recent cases: 163
 recent prevalence: 0.10%
 possible undercount: 18.4x"
Beaverhead,Montana,30001,0,0,9453,0,NA,"Beaverhead county, Montana
 recent cases: 0
 recent prevalence: 0.00%
 possible undercount: NAx"
Becker,Minnesota,27005,14,0,34423,4.067048194521105e-4,NA,"Becker county, Minnesota
 recent cases: 14
 recent prevalence: 0.04%
 possible undercount: NAx"
Beckham,Oklahoma,40009,4,0,21859,1.8299098769385607e-4,NA,"Beckham county, Oklahoma
 recent cases: 4
 recent prevalence: 0.02%
 possible undercount: NAx"
Bedford,Pennsylvania,42009,10,0,47888,2.088205813564985e-4,NA,"Bedford county, Pennsylvania
 recent cases: 10
 recent prevalence: 0.02%
 possible undercount: NAx"
Bedford,Tennessee,47003,96,1,49713,0.001931084424597188,1.0416666666666667,"Bedford county, Tennessee
 recent cases: 96
 recent prevalence: 0.19%
 possible undercount: 1.0x"
Bedford,Virginia,51019,17,0,78997,2.1519804549539857e-4,NA,"Bedford county, Virginia
 recent cases: 17
 recent prevalence: 0.02%
 possible undercount: NAx"
Bee,Texas,48025,1,0,32565,3.070781513895286e-5,NA,"Bee county, Texas
 recent cases: 1
 recent prevalence: 0.00%
 possible undercount: NAx"
Belknap,New Hampshire,33001,12,0,61303,1.9574898455214262e-4,NA,"Belknap county, New Hampshire
 recent cases: 12
 recent prevalence: 0.02%
 possible undercount: NAx"
Bell,Texas,48027,75,0,362924,2.0665483682534084e-4,NA,"Bell county, Texas
 recent cases: 75
 recent prevalence: 0.02%
 possible undercount: NAx"
Belmont,Ohio,39013,97,1,67006,0.0014476315553831,1.0309278350515463,"Belmont county, Ohio
 recent cases: 97
 recent prevalence: 0.14%
 possible undercount: 1.0x"
Beltrami,Minnesota,27007,1,0,47188,2.1191828430957024e-5,NA,"Beltrami county, Minnesota
 recent cases: 1
 recent prevalence: 0.00%
 possible undercount: NAx"
Ben Hill,Georgia,13017,10,0,16700,5.988023952095808e-4,NA,"Ben Hill county, Georgia
 recent cases: 10
 recent prevalence: 0.06%
 possible undercount: NAx"
Bennington,Vermont,50003,17,0,35470,4.7927826332111646e-4,NA,"Bennington county, Vermont
 recent cases: 17
 recent prevalence: 0.05%
 possible undercount: NAx"
Benton,Arkansas,05007,45,0,279141,0.00016120885144066977,NA,"Benton county, Arkansas
 recent cases: 45
 recent prevalence: 0.02%
 possible undercount: NAx"
Benton,Indiana,18007,7,0,8748,8.00182898948331e-4,NA,"Benton county, Indiana
 recent cases: 7
 recent prevalence: 0.08%
 possible undercount: NAx"
Benton,Iowa,19011,10,0,25645,3.899395593682979e-4,NA,"Benton county, Iowa
 recent cases: 10
 recent prevalence: 0.04%
 possible undercount: NAx"
Benton,Minnesota,27009,44,1,40889,0.0010760840323803468,2.272727272727273,"Benton county, Minnesota
 recent cases: 44
 recent prevalence: 0.11%
 possible undercount: 2.3x"
Benton,Mississippi,28009,4,0,8259,4.84320135609638e-4,NA,"Benton county, Mississippi
 recent cases: 4
 recent prevalence: 0.05%
 possible undercount: NAx"
Benton,Missouri,29015,5,0,19443,2.5716196060278764e-4,NA,"Benton county, Missouri
 recent cases: 5
 recent prevalence: 0.03%
 possible undercount: NAx"
Benton,Oregon,41003,12,0,93053,1.2895876543475224e-4,NA,"Benton county, Oregon
 recent cases: 12
 recent prevalence: 0.01%
 possible undercount: NAx"
